Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
"hambúrguer de porco, frito, sem molho",INSA,"264,00 Kcal","27,50 g","0,00 g","17,10 g"
"hambúrguer de porco, grelhado",INSA,"261,00 Kcal","27,80 g","0,00 g","16,60 g"
cubo de carne de vaca para caldo,INSA,"183,00 Kcal","19,80 g","8,00 g","8,00 g"
cubo de carne de galinha para caldo,INSA,"236,00 Kcal","15,40 g","9,00 g","15,40 g"
caldo preparado com cubo de carne de vaca (diluição 2%),INSA,"4,00 Kcal","0,40 g","0,20 g","0,20 g"
caldo preparado com cubo de carne de galinha (diluição 2%),INSA,"5,00 Kcal","0,30 g","0,20 g","0,30 g"
"codorniz com pele, crua",INSA,"170,00 Kcal","21,50 g","0,00 g","9,30 g"
"codorniz carne sem pele, crua",INSA,"119,00 Kcal","22,10 g","0,00 g","3,40 g"
"codorniz com pele, estufada com azeite",INSA,"234,00 Kcal","25,60 g","0,70 g","13,40 g"
"codorniz com pele, grelhada",INSA,"202,00 Kcal","24,50 g","0,00 g","11,60 g"
perdiz crua,INSA,"104,00 Kcal","23,00 g","0,00 g","1,30 g"
perdiz estufada com margarina,INSA,"212,00 Kcal","24,70 g","0,70 g","11,40 g"
"toucinho de porco entremeado fresco, cru",INSA,"682,00 Kcal","8,40 g","0,00 g","72,00 g"
"toucinho de porco entremeado ligeiramente salgado, cru",INSA,"506,00 Kcal","13,70 g","0,00 g","50,10 g"
"toucinho de porco entremeado ligeiramente salgado, cozido sem adição de sal",INSA,"372,00 Kcal","16,70 g","0,00 g","33,90 g"
"toucinho de porco entremeado fresco, grelhado sem adição de sal",INSA,"676,00 Kcal","16,10 g","0,00 g","67,90 g"
bacon,INSA,"367,00 Kcal","13,80 g","0,00 g","34,60 g"
"bacon, grelhado sem adição de sal",INSA,"372,00 Kcal","22,20 g","0,00 g","31,50 g"
banha de porco,INSA,"896,00 Kcal","0,00 g","0,00 g","99,50 g"
vinagre,INSA,"22,00 Kcal","0,30 g","0,60 g","0,00 g"
"coração de porco, cru",INSA,"113,00 Kcal","18,40 g","0,00 g","4,40 g"
"coração de porco, estufado com banha e margarina",INSA,"193,00 Kcal","20,90 g","1,00 g","10,50 g"
"coração de vaca, cru",INSA,"92,00 Kcal","17,00 g","0,00 g","2,70 g"
"coração de vaca, cozido",INSA,"123,00 Kcal","23,40 g","0,00 g","3,30 g"
"coração de vaca, estufado com banha e margarina",INSA,"154,00 Kcal","17,70 g","0,90 g","7,80 g"
"coração de vitela, cru",INSA,"100,00 Kcal","16,80 g","0,00 g","3,60 g"
"fígado de porco, cru",INSA,"129,00 Kcal","20,90 g","0,00 g","5,00 g"
"fígado de porco, grelhado",INSA,"162,00 Kcal","26,30 g","0,00 g","6,30 g"
"fígado de porco, frito com margarina e banha",INSA,"211,00 Kcal","23,20 g","0,00 g","13,10 g"
"fígado de vaca, cru",INSA,"132,00 Kcal","20,90 g","2,10 g","4,40 g"
"fígado de vaca, frito, sem molho",INSA,"171,00 Kcal","24,50 g","2,50 g","7,00 g"
"fígado de vitela, cru",INSA,"119,00 Kcal","20,30 g","1,50 g","3,50 g"
"fígado de vitela, grelhado",INSA,"153,00 Kcal","25,70 g","1,90 g","4,70 g"
"fígado de vitela, frito com banha e manteiga",INSA,"201,00 Kcal","22,60 g","1,70 g","11,50 g"
"fígado de vitela, frito, sem molho",INSA,"179,00 Kcal","24,60 g","1,50 g","8,30 g"
"língua de vaca, crua",INSA,"199,00 Kcal","15,90 g","0,00 g","15,00 g"
"língua de vaca, estufada, sem molho",INSA,"267,00 Kcal","19,80 g","0,00 g","20,90 g"
"rim de carneiro, cru",INSA,"92,00 Kcal","16,20 g","0,00 g","3,00 g"
"rim de carneiro, frito com margarina",INSA,"205,00 Kcal","22,30 g","0,00 g","12,90 g"
"rim de porco, cru",INSA,"95,00 Kcal","17,00 g","0,00 g","3,00 g"
"rim de porco, frito com margarina",INSA,"206,00 Kcal","23,60 g","0,00 g","12,40 g"
"rim de vaca, cru",INSA,"92,00 Kcal","18,00 g","0,00 g","2,20 g"
"fígado de porco, frito, sem molho",INSA,"180,00 Kcal","25,20 g","0,00 g","8,80 g"
alheira crua,INSA,"309,00 Kcal","8,30 g","27,40 g","18,10 g"
alheira cozida sem adição de sal,INSA,"269,00 Kcal","8,30 g","26,80 g","14,00 g"
alheira grelhada sem adição de sal,INSA,"302,00 Kcal","8,10 g","28,50 g","17,00 g"
"chouriço de carne de porco, magro, cru",INSA,"409,00 Kcal","24,50 g","0,00 g","34,50 g"
"chouriço de carne de porco, gordo, cru",INSA,"544,00 Kcal","15,40 g","0,00 g","53,60 g"
"chouriço de carne de porco, magro, cozido sem adição de sal",INSA,"334,00 Kcal","24,80 g","0,00 g","26,10 g"
"chouriço de carne de porco, magro, grelhado sem adição de sal",INSA,"343,00 Kcal","31,60 g","0,00 g","24,10 g"
"chouriço de sangue, cru",INSA,"328,00 Kcal","11,00 g","0,00 g","31,60 g"
chouriço de sangue cozido sem adição de sal,INSA,"263,00 Kcal","11,20 g","0,00 g","24,20 g"
farinheira crua,INSA,"497,00 Kcal","4,80 g","26,70 g","41,00 g"
farinheira cozida sem adição de sal,INSA,"404,00 Kcal","4,80 g","26,40 g","30,70 g"
linguiça,INSA,"437,00 Kcal","21,50 g","0,00 g","39,00 g"
morcela crua,INSA,"363,00 Kcal","12,00 g","12,00 g","29,50 g"
morcela grelhada sem adição de sal,INSA,"339,00 Kcal","12,90 g","13,10 g","25,90 g"
mortadela,INSA,"379,00 Kcal","18,30 g","1,70 g","33,20 g"
paio de lombo,INSA,"288,00 Kcal","29,20 g","0,00 g","19,00 g"
paio de lombo entremeado,INSA,"361,00 Kcal","22,80 g","0,00 g","30,00 g"
pasta de fígado de porco (paté),INSA,"363,00 Kcal","10,00 g","3,20 g","34,50 g"
"pasta de fígado de aves (paté), caseira",INSA,"289,00 Kcal","27,00 g","4,60 g","17,60 g"
presunto,INSA,"215,00 Kcal","25,00 g","0,00 g","12,80 g"
salame,INSA,"422,00 Kcal","19,50 g","1,30 g","37,60 g"
salpicão,INSA,"412,00 Kcal","20,50 g","0,00 g","36,70 g"
salsicha fresca crua,INSA,"210,00 Kcal","15,50 g","0,00 g","16,40 g"
salsicha fresca estufada com couve e azeite,INSA,"140,00 Kcal","7,20 g","1,10 g","11,60 g"
salsicha fresca estufada com legumes e azeite,INSA,"121,00 Kcal","5,90 g","3,70 g","8,90 g"
salsicha tipo frankfurt,INSA,"178,00 Kcal","9,00 g","2,40 g","14,70 g"
salsicha tipo frankfurt grelhada sem adição de sal,INSA,"211,00 Kcal","12,00 g","3,20 g","16,70 g"
salsicha tipo frankfurt frita (escorrido o óleo) sem adição de sal,INSA,"201,00 Kcal","10,20 g","2,80 g","16,50 g"
croquete,INSA,"316,00 Kcal","13,20 g","23,10 g","18,80 g"
rissol,INSA,"280,00 Kcal","7,30 g","31,80 g","13,40 g"
chamuça,INSA,"344,00 Kcal","9,10 g","39,30 g","16,30 g"
pastel folhado,INSA,"415,00 Kcal","7,10 g","37,40 g","26,00 g"
empada,INSA,"374,00 Kcal","9,60 g","33,90 g","21,90 g"
creme para barrar de cacau e avelãs (8 marcas),INSA,"545,00 Kcal","5,90 g","54,70 g","33,30 g"
almôndegas de vaca e porco,INSA,"243,00 Kcal","19,20 g","3,80 g","16,70 g"
"creme vegetal para barrar 72% gordura, 33% ácidos gordos polinsaturados",INSA,"651,00 Kcal","0,10 g","0,40 g","72,10 g"
"creme vegetal culinário, 75% gordura, sem sal",INSA,"677,00 Kcal","0,10 g","0,40 g","75,00 g"
"creme vegetal para barrar 35% gordura, com fitosteróis",INSA,"328,00 Kcal","0,10 g","3,20 g","35,00 g"
"creme vegetal para barrar 70% gordura, com sal",INSA,"632,00 Kcal","0,10 g","0,30 g","70,00 g"
creme vegetal para barrar 37% gordura,INSA,"343,00 Kcal","1,40 g","0,20 g","37,40 g"
"margarina industrial para pastelaria, com sal",INSA,"727,00 Kcal","0,10 g","0,40 g","80,50 g"
"margarina culinária para folhados, com sal",INSA,"772,00 Kcal","0,10 g","0,40 g","85,50 g"
"margarina vegetal culinária, 80% gordura, com sal",INSA,"722,00 Kcal","0,10 g","0,40 g","80,00 g"
"margarina vegetal culinária, com alho e sal",INSA,"692,00 Kcal","1,00 g","4,40 g","74,30 g"
"creme culinário líquido, 65% gordura, com sal",INSA,"588,00 Kcal","0,00 g","0,00 g","65,30 g"
"margarina 3/4, de girassol",INSA,"524,00 Kcal","0,10 g","0,30 g","58,00 g"
manteiga com sal,INSA,"739,00 Kcal","0,10 g","0,70 g","81,80 g"
manteiga sem sal,INSA,"750,00 Kcal","0,10 g","0,70 g","83,00 g"
minarina (meia margarina),INSA,"380,00 Kcal","0,90 g","0,40 g","41,60 g"
óleo de amendoim,INSA,"887,00 Kcal","0,00 g","0,00 g","98,50 g"
"óleo ""becel""",INSA,"887,00 Kcal","0,00 g","0,00 g","98,50 g"
óleo de girassol,INSA,"896,00 Kcal","0,00 g","0,00 g","99,50 g"
óleos de milho,INSA,"896,00 Kcal","0,00 g","0,00 g","99,50 g"
óleo alimentar,INSA,"896,00 Kcal","0,00 g","0,00 g","99,50 g"
óleo de soja,INSA,"887,00 Kcal","0,00 g","0,00 g","98,50 g"
óleo de palma,INSA,"900,00 Kcal","0,00 g","0,00 g","100,00 g"
azeite (4 marcas),INSA,"899,00 Kcal","0,00 g","0,00 g","99,90 g"
shortening para pastelaria,INSA,"878,00 Kcal","0,00 g","0,00 g","97,50 g"
shortening para restaurante,INSA,"900,00 Kcal","0,00 g","0,00 g","100,00 g"
"creme vegetal para barrar 70% gordura, 53% ácidos gordos monoinsaturados",INSA,"632,00 Kcal","0,10 g","0,50 g","70,00 g"
"creme vegetal para barrar 58% gordura, com cálcio",INSA,"525,00 Kcal","0,30 g","0,50 g","58,00 g"
arroz carolino branqueado cru,INSA,"357,00 Kcal","7,40 g","79,60 g","0,50 g"
arroz integral cru,INSA,"351,00 Kcal","8,60 g","71,60 g","2,50 g"
arroz agulha cru,INSA,"347,00 Kcal","6,70 g","78,10 g","0,40 g"
arroz cozido simples,INSA,"125,00 Kcal","2,50 g","28,00 g","0,20 g"
arroz de manteiga,INSA,"265,00 Kcal","3,80 g","44,40 g","7,70 g"
arroz de cenoura com azeite,INSA,"127,00 Kcal","1,80 g","19,90 g","4,20 g"
arroz de tomate com margarina,INSA,"122,00 Kcal","2,00 g","20,20 g","3,40 g"
arroz de tomate com azeite,INSA,"129,00 Kcal","2,00 g","20,10 g","4,20 g"
arroz de peixe,INSA,"125,00 Kcal","7,00 g","15,50 g","3,70 g"
farinha de alfarroba,INSA,"368,00 Kcal","3,20 g","85,60 g","0,30 g"
farinha de centeio tipo 70,INSA,"364,00 Kcal","6,60 g","78,50 g","1,10 g"
farinha de centeio tipo 85,INSA,"375,00 Kcal","9,00 g","76,00 g","1,30 g"
"milho, grão seco cru",INSA,"368,00 Kcal","9,30 g","70,30 g","4,90 g"
farinha de milho tipo 70,INSA,"359,00 Kcal","8,30 g","75,30 g","2,20 g"
farinha de trigo tipo 150,INSA,"352,00 Kcal","9,10 g","73,00 g","1,80 g"
farinha de trigo tipo 55,INSA,"344,00 Kcal","7,80 g","74,30 g","1,10 g"
farinha de trigo integral,INSA,"338,00 Kcal","9,60 g","65,20 g","2,40 g"
esparguete cru,INSA,"360,00 Kcal","12,10 g","71,10 g","1,90 g"
massa miúda crua,INSA,"356,00 Kcal","12,40 g","70,00 g","1,80 g"
esparguete cozido,INSA,"102,00 Kcal","3,40 g","19,90 g","0,60 g"
esparguete estufado com cenoura e azeite,INSA,"121,00 Kcal","3,00 g","17,60 g","3,90 g"
esparguete estufado com cenoura e margarina,INSA,"115,00 Kcal","3,00 g","17,60 g","3,20 g"
massa com ovo crua,INSA,"360,00 Kcal","13,90 g","67,60 g","3,10 g"
massa com ovo cozida,INSA,"71,00 Kcal","2,80 g","13,30 g","0,60 g"
massa para lasanha crua,INSA,"359,00 Kcal","12,00 g","71,40 g","2,10 g"
massa para lasanha cozida,INSA,"115,00 Kcal","4,00 g","22,60 g","0,70 g"
pão de centeio,INSA,"268,00 Kcal","5,90 g","56,40 g","0,80 g"
pão de centeio integral,INSA,"229,00 Kcal","7,70 g","41,30 g","2,10 g"
pão de milho,INSA,"188,00 Kcal","5,30 g","37,20 g","1,20 g"
pão de trigo,INSA,"290,00 Kcal","8,40 g","57,30 g","2,20 g"
pão de mistura de trigo e centeio,INSA,"272,00 Kcal","9,00 g","53,80 g","1,40 g"
"pão de forma, de trigo enriquecido",INSA,"284,00 Kcal","8,70 g","54,50 g","2,70 g"
"pão de forma, de trigo com passas",INSA,"291,00 Kcal","8,30 g","58,30 g","2,00 g"
pão de trigo integral,INSA,"232,00 Kcal","7,60 g","39,90 g","3,00 g"
pão de trigo integral com sementes de sésamo,INSA,"256,00 Kcal","7,70 g","43,20 g","4,00 g"
pão de trigo integral com soja,INSA,"233,00 Kcal","9,40 g","38,20 g","2,80 g"
pão de trigo integral com passas,INSA,"247,00 Kcal","7,40 g","44,00 g","2,60 g"
pão do coração (trigo),INSA,"248,00 Kcal","7,00 g","51,00 g","1,20 g"
pão de leite (trigo),INSA,"259,00 Kcal","7,70 g","51,40 g","1,90 g"
gressino,INSA,"396,00 Kcal","10,70 g","67,00 g","8,70 g"
tosta de trigo simples,INSA,"379,00 Kcal","11,30 g","72,70 g","3,80 g"
tosta de trigo sem sal,INSA,"379,00 Kcal","11,30 g","72,70 g","3,80 g"
tosta de trigo integral,INSA,"373,00 Kcal","15,40 g","62,60 g","5,10 g"
"flocos de milho tipo ""corn flakes""",INSA,"374,00 Kcal","7,90 g","81,10 g","1,10 g"
flocos de aveia,INSA,"366,00 Kcal","13,50 g","61,70 g","5,80 g"
flocos de arroz,INSA,"379,00 Kcal","7,00 g","83,40 g","1,50 g"
flocos de trigo,INSA,"373,00 Kcal","14,00 g","69,00 g","2,50 g"
"flocos de cereais e frutos secos tipo ""muesli""",INSA,"388,00 Kcal","10,40 g","69,10 g","6,30 g"
"flocos de trigo e arroz enriquecidos com vitaminas, cálcio e ferro",INSA,"372,00 Kcal","7,50 g","79,20 g","1,30 g"
"flocos de trigo integral tipo ""all-bran flakes""",INSA,"349,00 Kcal","10,20 g","64,20 g","1,90 g"
"cereal de pequeno almoço de trigo integral tipo ""weetabix""",INSA,"364,00 Kcal","10,70 g","71,50 g","2,00 g"
"cereal de pequeno almoço à base de farelo de trigo (tipo ""all-bran"")",INSA,"310,00 Kcal","15,10 g","39,80 g","3,40 g"
"milho, amido (pó)",INSA,"364,00 Kcal","0,40 g","90,20 g","0,20 g"
"batata, fécula",INSA,"345,00 Kcal","0,50 g","85,00 g","0,30 g"
tapioca,INSA,"356,00 Kcal","0,30 g","87,50 g","0,20 g"
"biscoitos, argolas",INSA,"451,00 Kcal","5,40 g","69,70 g","16,50 g"
biscoitos limão,INSA,"382,00 Kcal","6,70 g","77,90 g","4,40 g"
"biscoitos, línguas de gato",INSA,"377,00 Kcal","5,20 g","84,10 g","1,80 g"
"biscoitos, línguas de veado",INSA,"474,00 Kcal","5,80 g","65,10 g","20,70 g"
"biscoitos, palitos la reine",INSA,"381,00 Kcal","11,50 g","66,60 g","7,20 g"
biscoitos caseiros,INSA,"423,00 Kcal","6,70 g","73,40 g","11,00 g"
bolacha água e sal,INSA,"450,00 Kcal","9,80 g","61,00 g","17,80 g"
bolacha aveia,INSA,"443,00 Kcal","10,00 g","57,50 g","18,30 g"
"bolacha ""waffer"" baunilha",INSA,"564,00 Kcal","3,20 g","55,30 g","36,40 g"
"bolacha ""belga""",INSA,"487,00 Kcal","7,10 g","70,10 g","19,60 g"
bolacha chocolate,INSA,"469,00 Kcal","5,70 g","65,40 g","19,80 g"
"bolacha ""cream cracker""",INSA,"442,00 Kcal","10,80 g","61,60 g","16,20 g"
bolacha integral (trigo),INSA,"450,00 Kcal","8,80 g","65,60 g","15,60 g"
bolacha manteiga,INSA,"483,00 Kcal","6,20 g","65,20 g","21,30 g"
bolacha maria,INSA,"436,00 Kcal","8,40 g","72,00 g","12,20 g"
bolacha torrada,INSA,"437,00 Kcal","7,30 g","68,50 g","14,40 g"
farinha de pau (mandioca),INSA,"350,00 Kcal","1,40 g","84,60 g","0,30 g"
bola de berlim sem creme,INSA,"402,00 Kcal","6,80 g","43,70 g","21,50 g"
bolo de arroz,INSA,"404,00 Kcal","4,40 g","62,70 g","14,80 g"
bolo de bolacha maria,INSA,"389,00 Kcal","3,90 g","46,30 g","20,70 g"
bolo de chocolate,INSA,"463,00 Kcal","7,40 g","47,00 g","26,40 g"
bolo de coco,INSA,"454,00 Kcal","4,20 g","37,80 g","31,00 g"
bolo ferradura,INSA,"351,00 Kcal","5,90 g","71,60 g","4,10 g"
bolo inglês,INSA,"380,00 Kcal","5,10 g","57,00 g","13,90 g"
bolo-rei,INSA,"407,00 Kcal","7,90 g","57,40 g","14,90 g"
croissant,INSA,"416,00 Kcal","7,60 g","42,20 g","23,50 g"
donut,INSA,"400,00 Kcal","6,60 g","43,00 g","21,70 g"
donut recheado com doce de fruta,INSA,"348,00 Kcal","6,00 g","47,00 g","14,50 g"
éclair de chocolate,INSA,"378,00 Kcal","4,10 g","36,50 g","23,80 g"
jesuíta,INSA,"518,00 Kcal","4,10 g","54,00 g","31,20 g"
merengue,INSA,"353,00 Kcal","4,10 g","83,00 g","0,50 g"
pão de ló,INSA,"361,00 Kcal","9,60 g","62,20 g","8,00 g"
madalena,INSA,"443,00 Kcal","4,90 g","54,70 g","22,60 g"
pastel de feijão,INSA,"322,00 Kcal","6,80 g","52,00 g","9,40 g"
pastel de nata,INSA,"299,00 Kcal","2,90 g","48,50 g","10,20 g"
pudim de leite e ovos,INSA,"246,00 Kcal","6,10 g","44,80 g","4,70 g"
pudim flan caseiro,INSA,"211,00 Kcal","6,20 g","36,30 g","4,50 g"
pudim instantâneo em pó,INSA,"412,00 Kcal","2,00 g","79,40 g","9,40 g"
pudim instantâneo preparado com leite meio gordo,INSA,"113,00 Kcal","3,10 g","18,30 g","3,00 g"
pudim instantâneo preparado com leite magro,INSA,"104,00 Kcal","3,20 g","18,30 g","1,90 g"
queque,INSA,"408,00 Kcal","6,70 g","53,80 g","18,20 g"
tarte de maçã,INSA,"200,00 Kcal","1,80 g","29,30 g","8,00 g"
tarte de maçã e pêssego,INSA,"224,00 Kcal","4,40 g","36,70 g","6,20 g"
torta de chocolate e chantilly,INSA,"369,00 Kcal","8,00 g","29,60 g","23,90 g"
arroz doce,INSA,"233,00 Kcal","4,40 g","45,20 g","3,80 g"
leite creme,INSA,"163,00 Kcal","5,90 g","19,50 g","6,80 g"
mousse de chocolate,INSA,"285,00 Kcal","9,50 g","31,00 g","13,10 g"
açúcar amarelo,INSA,"390,00 Kcal","0,00 g","97,50 g","0,00 g"
açúcar branco,INSA,"397,00 Kcal","0,00 g","99,30 g","0,00 g"
mel,INSA,"314,00 Kcal","0,50 g","78,00 g","0,00 g"
cacau em pó,INSA,"358,00 Kcal","19,60 g","11,10 g","23,40 g"
"chocolate em barra, culinária",INSA,"502,00 Kcal","5,40 g","44,00 g","30,50 g"
chocolate em pó,INSA,"469,00 Kcal","4,20 g","63,80 g","20,30 g"
chocolate de leite,INSA,"552,00 Kcal","8,00 g","53,10 g","33,90 g"
pó achocolatado com baixo teor de gordura,INSA,"395,00 Kcal","6,50 g","86,20 g","2,50 g"
pó achocolatado com alto teor de gordura,INSA,"428,00 Kcal","12,00 g","70,60 g","10,60 g"
rabanada,INSA,"294,00 Kcal","4,70 g","31,30 g","16,60 g"
sonhos,INSA,"389,00 Kcal","8,70 g","29,20 g","26,20 g"
gelado de água (sorvete),INSA,"132,00 Kcal","0,40 g","32,60 g","0,00 g"
gelado de leite,INSA,"199,00 Kcal","3,60 g","21,70 g","10,90 g"
gelatina desidratada (pó ou folha),INSA,"349,00 Kcal","87,00 g","0,00 g","0,10 g"
gelatina preparada com ananás em conserva,INSA,"97,00 Kcal","2,20 g","21,60 g","0,00 g"
gelatina preparada com laranja e sumo de laranja,INSA,"84,00 Kcal","2,60 g","17,40 g","0,10 g"
gelado caseiro com bolachas e natas,INSA,"358,00 Kcal","5,10 g","36,50 g","21,20 g"
gelado caseiro com palitos la reine,INSA,"263,00 Kcal","7,90 g","28,70 g","12,40 g"
rebuçados,INSA,"381,00 Kcal","0,30 g","95,00 g","0,00 g"
pastilha elástica,INSA,"328,00 Kcal","6,90 g","75,10 g","0,00 g"
queijada de queijo magro,INSA,"292,00 Kcal","6,70 g","55,40 g","4,70 g"
queijada de queijo fresco,INSA,"301,00 Kcal","7,50 g","56,70 g","4,70 g"
queijada de requeijão,INSA,"311,00 Kcal","7,20 g","40,80 g","13,10 g"
ervilhas secas cruas,INSA,"330,00 Kcal","22,70 g","49,40 g","1,30 g"
ervilhas secas cozidas,INSA,"114,00 Kcal","6,90 g","18,10 g","0,40 g"
favas secas cruas,INSA,"301,00 Kcal","25,80 g","32,80 g","1,30 g"
favas secas cozidas (demolhadas),INSA,"90,00 Kcal","7,90 g","10,70 g","0,60 g"
"feijão frade, cru, seco",INSA,"339,00 Kcal","21,40 g","55,30 g","1,50 g"
"feijão frade, demolhado, cozido",INSA,"123,00 Kcal","8,80 g","18,10 g","0,70 g"
"feijão branco, cru, seco",INSA,"308,00 Kcal","21,30 g","43,90 g","0,10 g"
feijão branco cozido (demolhado),INSA,"103,00 Kcal","6,60 g","14,60 g","0,50 g"
"feijão manteiga, cru, seco",INSA,"313,00 Kcal","24,00 g","42,60 g","0,10 g"
feijão manteiga cozido (demolhado),INSA,"107,00 Kcal","7,80 g","14,00 g","0,60 g"
grão-de-bico cru,INSA,"354,00 Kcal","19,00 g","51,40 g","5,00 g"
grão-de-bico cozido (demolhado),INSA,"130,00 Kcal","8,40 g","16,70 g","2,10 g"
"lentilhas, secas, cruas",INSA,"321,00 Kcal","25,20 g","47,60 g","0,70 g"
lentilhas secas cozidas (demolhadas),INSA,"115,00 Kcal","9,10 g","16,70 g","0,30 g"
"soja, grão seco, cru",INSA,"407,00 Kcal","32,80 g","18,30 g","19,30 g"
soja cozida sem sal,INSA,"151,00 Kcal","12,50 g","5,60 g","7,50 g"
"soja, farinha com baixo teor de gordura",INSA,"314,00 Kcal","44,00 g","21,80 g","2,60 g"
"bebida à base de soja natural, sem açúcar e sem sal",INSA,"37,00 Kcal","3,70 g","0,40 g","2,20 g"
"bebida à base de soja com açúcar, com cálcio, sal e aromas",INSA,"53,00 Kcal","3,60 g","4,20 g","2,10 g"
"bebida à base de soja com açúcar, sal e aromas",INSA,"61,00 Kcal","3,80 g","6,40 g","2,20 g"
tofu simples,INSA,"77,00 Kcal","8,50 g","0,70 g","4,40 g"
tofu frito com azeite,INSA,"108,00 Kcal","8,70 g","1,10 g","7,60 g"
tofu frito com óleo de milho,INSA,"108,00 Kcal","8,70 g","1,10 g","7,60 g"
"tremoço, cozido e salgado",INSA,"126,00 Kcal","16,40 g","7,20 g","2,40 g"
canela moída,INSA,"315,00 Kcal","3,90 g","55,50 g","3,20 g"
brócolos crus,INSA,"32,00 Kcal","3,40 g","1,50 g","0,80 g"
brócolos cozidos,INSA,"27,00 Kcal","2,80 g","1,30 g","0,70 g"
couve-branca crua,INSA,"28,00 Kcal","1,40 g","3,50 g","0,40 g"
couve-branca cozida,INSA,"23,00 Kcal","1,70 g","2,20 g","0,40 g"
couve-de-bruxelas crua,INSA,"50,00 Kcal","3,50 g","4,00 g","1,40 g"
couve-de-bruxelas cozida,INSA,"43,00 Kcal","2,90 g","3,50 g","1,30 g"
couve-flor crua,INSA,"34,00 Kcal","3,70 g","3,30 g","0,20 g"
couve-flor cozida,INSA,"21,00 Kcal","1,60 g","2,30 g","0,20 g"
couve-galega crua,INSA,"32,00 Kcal","2,40 g","3,10 g","0,40 g"
couve-galega cozida,INSA,"29,00 Kcal","2,10 g","2,90 g","0,40 g"
couve-lombarda crua,INSA,"26,00 Kcal","2,40 g","2,10 g","0,20 g"
couve-lombarda cozida,INSA,"22,00 Kcal","2,20 g","1,40 g","0,20 g"
couve-portuguesa crua,INSA,"31,00 Kcal","2,20 g","3,50 g","0,40 g"
couve-portuguesa cozida,INSA,"27,00 Kcal","2,10 g","2,50 g","0,40 g"
couve-roxa crua,INSA,"30,00 Kcal","2,00 g","3,90 g","0,00 g"
grelos de couve crus,INSA,"28,00 Kcal","2,40 g","2,50 g","0,40 g"
grelos de couve cozidos,INSA,"22,00 Kcal","1,90 g","1,50 g","0,40 g"
grelos de nabo crus,INSA,"29,00 Kcal","2,40 g","2,30 g","0,50 g"
grelos de nabo cozidos,INSA,"20,00 Kcal","1,80 g","1,30 g","0,40 g"
"ervilhas, grão, frescas cruas",INSA,"76,00 Kcal","6,40 g","8,60 g","0,70 g"
"ervilhas, grão, frescas cozidas",INSA,"72,00 Kcal","6,20 g","7,90 g","0,70 g"
"ervilhas, vagens cruas",INSA,"33,00 Kcal","3,10 g","3,90 g","0,20 g"
"ervilhas, vagens cozidas",INSA,"30,00 Kcal","2,80 g","3,50 g","0,20 g"
"ervilhas, grão, congeladas cruas",INSA,"68,00 Kcal","5,30 g","7,00 g","0,50 g"
"ervilhas, grão, congeladas cozidas",INSA,"72,00 Kcal","5,60 g","7,50 g","0,50 g"
favas frescas cruas,INSA,"80,00 Kcal","7,40 g","8,50 g","0,50 g"
favas frescas cozidas,INSA,"73,00 Kcal","6,70 g","7,40 g","0,50 g"
feijão-verde fresco cru,INSA,"32,00 Kcal","1,90 g","3,80 g","0,30 g"
feijão-verde fresco cozido,INSA,"30,00 Kcal","1,80 g","3,50 g","0,30 g"
abóbora crua,INSA,"11,00 Kcal","0,30 g","1,70 g","0,20 g"
agrião cru,INSA,"29,00 Kcal","3,40 g","0,40 g","0,90 g"
alho-francês cru,INSA,"26,00 Kcal","1,80 g","2,90 g","0,30 g"
alcachofra crua,INSA,"51,00 Kcal","3,00 g","6,80 g","0,20 g"
alcachofra cozida,INSA,"46,00 Kcal","3,00 g","5,30 g","0,20 g"
alface,INSA,"15,00 Kcal","1,80 g","0,80 g","0,20 g"
batata crua,INSA,"90,00 Kcal","2,50 g","19,20 g","0,00 g"
batata cozida,INSA,"87,00 Kcal","2,40 g","18,50 g","0,00 g"
batata assada no forno,INSA,"159,00 Kcal","3,20 g","24,80 g","4,80 g"
"batata assada com pele, sem sal (só a polpa)",INSA,"90,00 Kcal","2,50 g","19,20 g","0,00 g"
puré de batata,INSA,"126,00 Kcal","2,30 g","16,80 g","5,20 g"
"batata estufada com cebola, azeite e óleo alimentar",INSA,"97,00 Kcal","2,00 g","14,50 g","3,10 g"
batata frita caseira (em palitos),INSA,"227,00 Kcal","3,70 g","27,60 g","10,80 g"
"batata frita, de pacote (em rodelas)",INSA,"543,00 Kcal","5,70 g","39,00 g","38,10 g"
batata doce crua,INSA,"123,00 Kcal","1,00 g","28,30 g","0,00 g"
batata doce assada,INSA,"123,00 Kcal","1,00 g","28,30 g","0,00 g"
beterraba (raiz) crua,INSA,"23,00 Kcal","1,00 g","3,50 g","0,00 g"
beterraba (raiz) cozida sem sal,INSA,"23,00 Kcal","1,00 g","3,40 g","0,00 g"
cebola crua,INSA,"20,00 Kcal","0,90 g","3,10 g","0,20 g"
cebola cozida,INSA,"18,00 Kcal","1,00 g","2,40 g","0,20 g"
cebola frita com óleo alimentar,INSA,"138,00 Kcal","1,90 g","6,20 g","11,20 g"
cenoura crua,INSA,"25,00 Kcal","0,60 g","4,40 g","0,00 g"
cenoura cozida,INSA,"23,00 Kcal","0,70 g","3,60 g","0,00 g"
chicória crua,INSA,"14,00 Kcal","1,00 g","0,90 g","0,10 g"
cogumelos crus,INSA,"18,00 Kcal","1,80 g","0,50 g","0,50 g"
