Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
"clara de ovo de galinha, crua",INSA,"47,00 Kcal","11,00 g","0,00 g","0,30 g"
"ovo de galinha, cozido",INSA,"149,00 Kcal","13,00 g",,"10,80 g"
"ovo de galinha, escalfado",INSA,"150,00 Kcal","13,00 g","0,00 g","10,90 g"
"ovo de galinha, estrelado com manteiga",INSA,"194,00 Kcal","13,70 g","0,00 g","15,50 g"
"ovo de galinha, estrelado com margarina",INSA,"194,00 Kcal","13,70 g","0,00 g","15,50 g"
"ovo de galinha, estrelado com azeite",INSA,"191,00 Kcal","13,80 g","0,00 g","15,10 g"
"ovo de galinha, mexido com manteiga",INSA,"197,00 Kcal","13,00 g","0,00 g","16,10 g"
"ovo de galinha, mexido com margarina",INSA,"196,00 Kcal","13,00 g","0,00 g","16,00 g"
omelete com manteiga,INSA,"199,00 Kcal","13,00 g","0,00 g","16,30 g"
omelete com margarina,INSA,"198,00 Kcal","13,00 g","0,00 g","16,20 g"
"ovo de galinha líquido, pasteurizado",INSA,"131,00 Kcal","11,90 g","0,00 g","9,30 g"
"costeleta ou perna de borrego, crua",INSA,"124,00 Kcal","19,70 g","0,00 g","5,00 g"
"costeleta de carneiro, crua",INSA,"151,00 Kcal","20,80 g","0,00 g","7,50 g"
"pá de carneiro, crua",INSA,"195,00 Kcal","20,50 g","0,00 g","12,60 g"
"peito de carneiro gordo, cru",INSA,"396,00 Kcal","16,80 g","0,00 g","36,50 g"
"perna de carneiro gorda, crua",INSA,"276,00 Kcal","19,10 g","0,00 g","22,20 g"
"perna de carneiro magra, crua",INSA,"130,00 Kcal","19,80 g","0,00 g","5,60 g"
"costeleta ou perna de borrego, cozida",INSA,"157,00 Kcal","26,50 g","0,00 g","5,70 g"
"peito de carneiro gordo, cozido",INSA,"333,00 Kcal","23,30 g","0,00 g","26,60 g"
"pá de carneiro, cozida",INSA,"238,00 Kcal","27,60 g","0,00 g","14,20 g"
"costeleta ou perna de borrego, estufada sem molho",INSA,"185,00 Kcal","25,50 g","0,00 g","9,20 g"
"perna de carneiro gorda, estufada sem molho",INSA,"339,00 Kcal","26,50 g","0,00 g","25,90 g"
"pá de carneiro, estufada sem molho",INSA,"238,00 Kcal","27,60 g","0,00 g","14,20 g"
"perna de carneiro magra, estufada sem molho",INSA,"195,00 Kcal","25,60 g","0,00 g","10,30 g"
"perna de carneiro magra, estufada com margarina",INSA,"193,00 Kcal","17,40 g","1,70 g","12,50 g"
"perna de carneiro magra, estufada com azeite e margarina",INSA,"201,00 Kcal","17,40 g","1,70 g","13,40 g"
"costeleta ou perna de borrego, estufada com azeite e margarina",INSA,"183,00 Kcal","16,20 g","1,60 g","12,00 g"
"costeleta ou perna de borrego, estufada com margarina",INSA,"175,00 Kcal","16,20 g","1,60 g","11,10 g"
"costeleta ou perna de borrego, grelhada",INSA,"152,00 Kcal","25,70 g","0,00 g","5,50 g"
"perna de carneiro magra, assada, sem molho",INSA,"178,00 Kcal","24,20 g","0,00 g","9,00 g"
"perna de carneiro gorda, assada, sem molho",INSA,"285,00 Kcal","24,30 g","0,00 g","20,90 g"
"costeleta ou perna de borrego, assada, sem molho",INSA,"168,00 Kcal","24,10 g","0,00 g","8,00 g"
"pá de carneiro assada, sem molho",INSA,"202,00 Kcal","25,10 g","0,00 g","11,30 g"
"pá de carneiro, assada com margarina",INSA,"310,00 Kcal","24,30 g","0,00 g","23,60 g"
"pá de carneiro, assada com azeite e margarina",INSA,"319,00 Kcal","24,30 g","0,00 g","24,60 g"
perna de carneiro magra assada com margarina,INSA,"232,00 Kcal","23,50 g","0,00 g","15,30 g"
perna de carneiro magra assada com azeite e margarina,INSA,"242,00 Kcal","23,50 g","0,00 g","16,40 g"
costeleta ou perna de borrego assada com azeite e margarina,INSA,"234,00 Kcal","23,30 g","0,00 g","15,60 g"
costeleta ou perna de borrego assada com margarina,INSA,"224,00 Kcal","23,30 g","0,00 g","14,50 g"
"costeleta ou perna de borrego frita com margarina, sem molho",INSA,"166,00 Kcal","24,50 g","0,00 g","7,60 g"
"costeleta ou perna de carneiro magra frita com margarina, sem molho",INSA,"174,00 Kcal","24,70 g","0,00 g","8,40 g"
costeleta de cabrito crua,INSA,"120,00 Kcal","23,90 g","0,00 g","2,70 g"
peito de cabrito cru,INSA,"116,00 Kcal","20,50 g","0,00 g","3,80 g"
perna de cabrito crua,INSA,"113,00 Kcal","19,30 g","0,00 g","4,00 g"
"peito de cabrito estufado, sem molho",INSA,"153,00 Kcal","28,40 g","0,00 g","4,40 g"
peito de cabrito estufado com manteiga e óleo alimentar,INSA,"173,00 Kcal","23,30 g","0,80 g","8,40 g"
peito de cabrito estufado com margarina e óleo alimentar,INSA,"173,00 Kcal","23,30 g","0,80 g","8,40 g"
peito de cabrito estufado com azeite e margarina,INSA,"173,00 Kcal","23,30 g","0,80 g","8,40 g"
peito de cabrito estufado com azeite e óleo alimentar,INSA,"176,00 Kcal","23,30 g","0,70 g","8,80 g"
caldeirada de cabrito com azeite e banha,INSA,"119,00 Kcal","11,30 g","8,30 g","4,30 g"
caldeirada de cabrito com azeite e margarina,INSA,"116,00 Kcal","11,30 g","8,30 g","4,00 g"
costeleta de cabrito grelhada,INSA,"151,00 Kcal","30,90 g","0,00 g","3,00 g"
peito de cabrito grelhado,INSA,"144,00 Kcal","26,50 g","0,00 g","4,20 g"
perna de cabrito assada com óleo alimentar e margarina,INSA,"180,00 Kcal","21,70 g","0,20 g","10,00 g"
"perna de cabrito assada, sem molho",INSA,"135,00 Kcal","24,30 g","0,00 g","4,20 g"
perna de cabrito assada com azeite e margarina,INSA,"180,00 Kcal","21,70 g","0,20 g","10,00 g"
"bife de cavalo, alcatra crua",INSA,"116,00 Kcal","21,10 g","0,00 g","3,50 g"
lombo ou pá de cavalo cru,INSA,"99,00 Kcal","19,60 g","0,00 g","2,30 g"
"bife de cavalo, alcatra frita, sem molho",INSA,"147,00 Kcal","24,70 g","0,00 g","5,40 g"
"bife de cavalo, alcatra frita com manteiga",INSA,"177,00 Kcal","23,30 g","0,00 g","9,30 g"
"bife de cavalo, alcatra frita com margarina",INSA,"176,00 Kcal","23,30 g","0,00 g","9,20 g"
lombo ou pá de cavalo frito com manteiga,INSA,"158,00 Kcal","21,60 g","0,00 g","8,00 g"
lombo ou pá de cavalo frito com margarina,INSA,"157,00 Kcal","21,60 g","0,00 g","7,80 g"
"lombo ou pá de cavalo assado, sem molho",INSA,"136,00 Kcal","24,20 g","0,00 g","4,30 g"
lombo ou pá de cavalo assado com margarina,INSA,"161,00 Kcal","22,70 g","0,10 g","7,30 g"
lombo ou pá de cavalo assado com azeite e manteiga,INSA,"167,00 Kcal","22,70 g","0,10 g","8,00 g"
costeleta de porco gorda crua,INSA,"355,00 Kcal","17,30 g","0,00 g","31,80 g"
costeleta de porco meio gorda crua,INSA,"221,00 Kcal","19,80 g","0,00 g","15,80 g"
lombo de porco cru,INSA,"131,00 Kcal","22,20 g","0,00 g","4,70 g"
perna de porco gorda crua,INSA,"239,00 Kcal","18,10 g","0,00 g","18,50 g"
perna de porco magra crua,INSA,"152,00 Kcal","21,00 g","0,00 g","7,50 g"
entrecosto de porco cru,INSA,"190,00 Kcal","19,60 g","0,00 g","12,40 g"
entrecosto de porco cozido,INSA,"235,00 Kcal","26,90 g","0,00 g","14,20 g"
"costeleta de porco meio gorda estufada, sem molho",INSA,"284,00 Kcal","26,90 g","0,00 g","19,60 g"
"entrecosto de porco estufado, sem molho",INSA,"245,00 Kcal","26,60 g","0,00 g","15,40 g"
"perna de porco magra estufada, sem molho",INSA,"213,00 Kcal","28,60 g","0,00 g","11,00 g"
entrecosto de porco estufado com óleo alimentar e banha,INSA,"246,00 Kcal","20,90 g","0,70 g","17,10 g"
entrecosto de porco estufado com azeite e banha,INSA,"246,00 Kcal","20,90 g","0,70 g","17,10 g"
entrecosto de porco estufado com margarina,INSA,"239,00 Kcal","20,90 g","0,70 g","16,30 g"
entrecosto de porco estufado com azeite e margarina,INSA,"244,00 Kcal","20,90 g","0,70 g","16,80 g"
costeleta de porco meio gorda estufada com óleo alimentar e banha,INSA,"280,00 Kcal","21,10 g","0,70 g","20,70 g"
costeleta de porco meio gorda estufada com azeite e banha,INSA,"280,00 Kcal","21,10 g","0,70 g","20,70 g"
costeleta de porco meio gorda estufada com margarina,INSA,"272,00 Kcal","21,10 g","0,70 g","19,90 g"
costeleta de porco meio gorda estufada com azeite e margarina,INSA,"277,00 Kcal","21,10 g","0,70 g","20,40 g"
perna de porco magra estufada com azeite e margarina,INSA,"203,00 Kcal","22,40 g","0,70 g","11,60 g"
perna de porco magra estufada com azeite e banha,INSA,"206,00 Kcal","22,40 g","0,70 g","11,90 g"
perna de porco magra estufada com margarina,INSA,"198,00 Kcal","22,40 g","0,70 g","11,10 g"
perna de porco magra estufada com óleo alimentar e banha,INSA,"206,00 Kcal","22,40 g","0,70 g","11,90 g"
entrecosto de porco grelhado,INSA,"243,00 Kcal","26,80 g","0,00 g","15,10 g"
perna de porco magra grelhada,INSA,"215,00 Kcal","27,50 g","0,00 g","11,70 g"
perna de porco gorda grelhada,INSA,"287,00 Kcal","25,50 g","0,00 g","20,60 g"
lombo de porco grelhado,INSA,"189,00 Kcal","29,10 g","0,00 g","8,10 g"
costeleta de porco gorda grelhada,INSA,"305,00 Kcal","24,30 g","0,00 g","23,10 g"
costeleta de porco meio gorda grelhada,INSA,"261,00 Kcal","27,00 g","0,00 g","17,00 g"
"perna de porco magra assada, sem molho",INSA,"213,00 Kcal","31,00 g","0,00 g","9,90 g"
"lombo de porco assado, sem molho",INSA,"210,00 Kcal","32,70 g","0,00 g","8,80 g"
"perna de porco gorda assada, sem molho",INSA,"283,00 Kcal","27,60 g","0,00 g","19,20 g"
perna de porco gorda assada com azeite e margarina,INSA,"353,00 Kcal","22,40 g","0,20 g","28,20 g"
perna de porco gorda assada com óleo alimentar e margarina,INSA,"353,00 Kcal","22,40 g","0,20 g","28,20 g"
perna de porco gorda assada com margarina,INSA,"347,00 Kcal","22,40 g","0,20 g","27,60 g"
lombo de porco assado com margarina,INSA,"208,00 Kcal","28,20 g","0,00 g","10,60 g"
lombo de porco assado com óleo alimentar e margarina,INSA,"219,00 Kcal","27,50 g","0,20 g","11,10 g"
lombo de porco assado com azeite e margarina,INSA,"219,00 Kcal","27,50 g","0,20 g","11,10 g"
perna de porco magra assada com azeite e margarina,INSA,"245,00 Kcal","26,00 g","0,20 g","14,60 g"
perna de porco magra assada com óleo alimentar e margarina,INSA,"244,00 Kcal","26,00 g","0,20 g","14,50 g"
perna de porco magra assada com margarina,INSA,"239,00 Kcal","26,00 g","0,20 g","14,00 g"
costeleta de porco meio gorda frita panada,INSA,"341,00 Kcal","22,10 g","8,60 g","24,10 g"
lombo de porco frito panado,INSA,"249,00 Kcal","25,30 g","8,50 g","12,50 g"
lombo de porco frito com manteiga,INSA,"180,00 Kcal","28,80 g","0,00 g","7,20 g"
lombo de porco frito com margarina,INSA,"184,00 Kcal","28,80 g","0,00 g","7,60 g"
lombo de vaca magro cru,INSA,"114,00 Kcal","21,00 g","0,00 g","3,30 g"
vaca para assar crua,INSA,"174,00 Kcal","19,40 g","0,00 g","10,70 g"
vaca para cozer ou estufar magra crua,INSA,"175,00 Kcal","21,70 g","0,00 g","9,80 g"
vaca para cozer ou estufar meio gorda crua,INSA,"227,00 Kcal","21,30 g","0,00 g","15,80 g"
vaca magra cozida,INSA,"259,00 Kcal","33,70 g","0,00 g","13,80 g"
"vaca magra estufada, sem molho",INSA,"234,00 Kcal","31,50 g","0,00 g","12,00 g"
"vaca meio gorda estufada, sem molho",INSA,"280,00 Kcal","31,80 g","0,00 g","17,00 g"
vaca meio gorda estufada com azeite e margarina,INSA,"278,00 Kcal","21,40 g","1,20 g","20,20 g"
vaca meio gorda estufada com óleo alimentar e margarina,INSA,"278,00 Kcal","21,40 g","1,20 g","20,20 g"
vaca meio gorda estufada com margarina,INSA,"273,00 Kcal","21,40 g","1,20 g","19,60 g"
vaca magra estufada com óleo alimentar e margarina,INSA,"226,00 Kcal","21,80 g","1,20 g","14,20 g"
vaca magra estufada com azeite e margarina,INSA,"226,00 Kcal","21,80 g","1,20 g","14,20 g"
vaca magra estufada com margarina,INSA,"220,00 Kcal","21,80 g","1,20 g","13,60 g"
"lombo de vaca magro assado, sem molho",INSA,"172,00 Kcal","29,20 g","0,00 g","6,10 g"
"vaca assada, sem molho",INSA,"192,00 Kcal","26,90 g","0,00 g","9,40 g"
lombo de vaca magro assado com margarina,INSA,"198,00 Kcal","26,20 g","0,00 g","10,40 g"
lombo de vaca magro assado com azeite e margarina,INSA,"205,00 Kcal","26,20 g","0,00 g","11,10 g"
lombo de vaca magro assado com óleo alimentar e margarina,INSA,"205,00 Kcal","26,20 g","0,00 g","11,10 g"
"lombo de vaca magro assado com azeite, manteiga e óleo alimentar",INSA,"207,00 Kcal","26,20 g","0,00 g","11,40 g"
vaca assada com margarina,INSA,"273,00 Kcal","24,20 g","0,00 g","19,60 g"
vaca assada com azeite e margarina,INSA,"280,00 Kcal","24,20 g","0,00 g","20,40 g"
vaca assada com óleo alimentar e margarina,INSA,"280,00 Kcal","24,20 g","0,00 g","20,40 g"
