Calculadora Calorias,,,,,,Calculadora Almoços,,,,,,,,,,,,,,,,,,,,,,,,SOPA,,,,
Nome do alimento,Kcal,Proteina,Hidratos,Gordura,,Proteina 1/2,Kcal,Proteina,Hidratos,Gordura,,Hidratos,Kcal,Proteina,Hidratos,Gordura,,Legumes,Kcal,Proteina,Hidratos,Gordura,,Outro,Kcal,Proteina,Hidratos,Gordura,,Nome do alimento,Kcal,Proteina,Hidratos,Gordura
cereais com café Lidl (g),"351,00 Kcal","9,00 Kcal","73,00 Kcal","0,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cereais e café mercadona (g),"351,00 Kcal","9,00 Kcal","73,00 Kcal","0,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cereais nesquick (g),"369,00 Kcal","8,40 Kcal","75,80 Kcal","1,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheeseburger bk (un.),"285,00 Kcal","15,00 Kcal","28,00 Kcal","12,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheeseburger un.,"306,00 Kcal","16,00 Kcal","30,00 Kcal","13,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiclete mercadona (un.),"2,13 Kcal","0,00 Kcal","0,89 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate 0 açúcar Mercadona (g),"465,00 Kcal","9,00 Kcal","47,00 Kcal","31,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate de leite com amêndoas picadas alteza (g),"552,00 Kcal","10,00 Kcal","48,00 Kcal","35,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate do Dubai Lidl (g),"531,00 Kcal","11,60 Kcal","51,70 Kcal","30,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate fin carré (g),"534,00 Kcal","7,00 Kcal","57,70 Kcal","30,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate fin carré 0 açúcar (g),"498,00 Kcal","5,40 Kcal","52,40 Kcal","35,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate negro e amendoas alteza (g),"551,00 Kcal","8,70 Kcal","41,00 Kcal","37,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clara de ovo (g),"47,00 Kcal","11,00 Kcal","0,00 Kcal","0,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compota 0 morango casa Mateus (g),"42,00 Kcal","1,00 Kcal","10,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compota 0 pêssego hacendado (g),"40,00 Kcal","0,60 Kcal","10,20 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cone de baunilha bk (un.),"125,00 Kcal","2,50 Kcal","23,00 Kcal","2,60 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corn flakes mercadona (g),"373,00 Kcal","6,70 Kcal","82,00 Kcal","1,10 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creme de arroz HSN (g),"369,00 Kcal","7,50 Kcal","83,00 Kcal","0,80 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doce abobora continente equilíbrio (g),"233,00 Kcal","0,70 Kcal","56,20 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doce morango continente equilíbrio (g),"206,00 Kcal","0,30 Kcal","50,00 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estrelitas (g),"399,00 Kcal","7,40 Kcal","78,10 Kcal","5,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiambre de frango (g),"82,00 Kcal","13,70 Kcal","2,80 Kcal","1,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiambre de frango continente (g),"90,00 Kcal","11,00 Kcal","7,00 Kcal","2,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiambre de frango forno a lenha continente (g),"93,00 Kcal","13,00 Kcal","4,70 Kcal","2,60 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiambre de frango fumadinho Lidl (g),"91,00 Kcal","18,00 Kcal","2,60 Kcal","1,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiambre de peru (g),"85,00 Kcal","13,80 Kcal","2,60 Kcal","1,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruta (un.),"51,00 Kcal","0,50 Kcal","11,00 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frutinha 4 frutos nestlé (un.),"63,90 Kcal","0,72 Kcal","13,95 Kcal","0,18 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frutinha frutos variados bledina (un.),"50,00 Kcal","0,30 Kcal","11,10 Kcal","0,10 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frutinha maça e pera bledina (un.),"47,50 Kcal","0,33 Kcal","10,07 Kcal","0,18 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frutinha multigfrutos Nestlé (un.),"65,70 Kcal","0,72 Kcal","14,40 Kcal","0,18 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutos vermelhos aldi (g),"40,00 Kcal","0,50 Kcal","8,50 Kcal","0,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutos vermelhos Lidl (g),"51,00 Kcal","0,80 Kcal","9,10 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelado baunilha continente equilibrio (g),"114,00 Kcal","3,50 Kcal","19,00 Kcal","4,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelado caramelo go active (g),"137,00 Kcal","11,00 Kcal","12,00 Kcal","5,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatina 0 continente ananas (un.),"8,00 Kcal","1,80 Kcal","0,30 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatina 0 continente manga e maracuja (un.),"10,00 Kcal","1,80 Kcal","0,30 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatina 0 continente morango (un.),"11,00 Kcal","1,80 Kcal","0,60 Kcal","0,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatina 0 continente tangerina (un.),"8,00 Kcal","1,80 Kcal","0,30 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatina 0 Lidl ananas (un.),"7,00 Kcal","1,80 Kcal","0,00 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatina 0 Lidl morango (un.),"7,00 Kcal","1,80 Kcal","0,00 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gema de ovo (g),"342,00 Kcal","16,00 Kcal","0,00 Kcal","30,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodycao(g),"387,00 Kcal","5,80 Kcal","79,30 Kcal","3,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger un.,"258,00 Kcal","13,00 Kcal","29,00 Kcal","9,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte grego ligeiro continente (g),"55,00 Kcal","5,30 Kcal","3,90 Kcal","2,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iogurte grego light Lidl (g),"58,00 Kcal","6,00 Kcal","4,00 Kcal","2,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte liquido  magro continente un. Morango,"51,00 Kcal","3,40 Kcal","8,80 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte liquido magro continente un. ananas e coco,"57,00 Kcal","3,68 Kcal","9,60 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte liquido magro continente un. limao,"53,00 Kcal","3,68 Kcal","9,12 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte liquido magro continente un. Manga e papaia,"52,00 Kcal","3,50 Kcal","9,00 Kcal","0,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
